StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,sonaid,Q99_First Click,Q99_Last Click,Q99_Page Submit,Q99_Click Count,cons_imm_low,cons_imm_med,cons_imm_hi,cons_crim_low,cons_crim_med,cons_crim_hi,lib_imm_low,lib_imm_med ,lib_imm_hi,lib_crim_low,lib_crim_med,lib_crim_hi,online_communities,fact_sm,fact_sm_how,fact_online,fact_online_how,likely_click_1,likely_click_2,likely_click_3,likely_click_4,likely_click_5,likely_click_6,news_trust,effective_comm,discuss,dis_freq_1,past_12_1,past_12_2,past_12_3,past_12_4,past_12_5,past_12_6,social_amt _1,social_amt _2,social_amt _3,social_amt _4,social_amt _5,social_amt _6,social_amt _7,social_why _1,social_why _2,social_why _3,social_why _4,social_why _5,social_why _6,social_why _7,ideology ,party ,newsinterest_1,newsinterest_2,newsinterest_3,newsinterest_4,age,gender,ethnicity,ethnicity_6_TEXT,ethn_most,ethn_most_6_TEXT,comments,id,FL_7_DO,headlines_DO
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,"Welcome. To get SONA credit for this survey, you will need to give your SONA ID. Please enter your SONA ID below. 
NOTE: This is your SONA-Specific ID Number, NOT your SONA username or UCM ID number.
Please enter your SONA ID:",Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,Please choose the level of bias in the following headline:,Please choose the level of bias in the following headline:,Please choose the level of bias in the following headline:,Please choose the level of bias in the following headline:,Please choose the level of bias in the following headline:,Please choose the level of bias in the following headline:,Please choose the level of bias in the following headline:,Please choose the level of bias in the following headline:,Please choose the level of bias in the following headline:,Please choose the level of bias in the following headline:,Please choose the level of bias in the following headline:,Please choose the level of bias in the following headline:,Do you view online communities as a place to:,"How likely are you to ""fact check"" or do further research on the things you read on social media?","If you do fact check things, what process do you go through to do this?","How likely are you to ""fact check"" or do further research on the things you read online?","If you do fact check things you read online, how do you do go through this process?","How likely are you to ""click"" on and read posts shared by: - Friends","How likely are you to ""click"" on and read posts shared by: - Family","How likely are you to ""click"" on and read posts shared by: - Online community group members","How likely are you to ""click"" on and read posts shared by: - Celebrities","How likely are you to ""click"" on and read posts shared by: - Politcal Leaders","How likely are you to ""click"" on and read posts shared by: - News Companies",How much trust do you have in the news media to report accurately?,Do you think that news media organizations are effective in communicating information to the public?,Do you ever discuss current events or news with family or friends?,How many days in the past week did you talk about current events or news with family or friends? - Days,"During the past 12 months, have you done any of the followings: - Watched cable news","During the past 12 months, have you done any of the followings: - Read a news paper","During the past 12 months, have you done any of the followings: - Watched private TV News stations (Fox, CNN, BBC, etc.)","During the past 12 months, have you done any of the followings: - Read from news company websites online","During the past 12 months, have you done any of the followings: - Read news from social media posts from professional sources","During the past 12 months, have you done any of the followings: - Read news from social media posts from friends or family","On average, how do you use the following types of social media? - Facebook","On average, how do you use the following types of social media? - Instagram","On average, how do you use the following types of social media? - Twitter","On average, how do you use the following types of social media? - TikTok","On average, how do you use the following types of social media? - Parler","On average, how do you use the following types of social media? - Reddit","On average, how do you use the following types of social media? - Youtube",Please select your primary reason for using each social media platform: - Facebook,Please select your primary reason for using each social media platform: - Instagram,Please select your primary reason for using each social media platform: - Twitter,Please select your primary reason for using each social media platform: - TikTok,Please select your primary reason for using each social media platform: - Parler,Please select your primary reason for using each social media platform: - Reddit,Please select your primary reason for using each social media platform: - Youtube,"In political matters, people talk of ""the left"" and ""the right."" How would you place your views on this 10-point scale, generally speaking?","Generally speaking, do you usually think of yourself as a Republican, a Democrat, an Independent, or what?","Please indicate how the following statements apply to you (on a scale from ""not at all"" to ""a lot"" - I'm interested in the news","Please indicate how the following statements apply to you (on a scale from ""not at all"" to ""a lot"" - I discuss current news with my friends.","Please indicate how the following statements apply to you (on a scale from ""not at all"" to ""a lot"" - I participate in social movements.","Please indicate how the following statements apply to you (on a scale from ""not at all"" to ""a lot"" - How much I know about my friends' political attitudes.",What is your age in years?,What is your gender?,How do you identify? [mark all that apply] - Selected Choice,How do you identify? [mark all that apply] - Other - Text,Which do you most identify as? [select one] - Selected Choice,Which do you most identify as? [select one] - Other - Text,"__________________________
You have reached the end of our survey.  Thank you for your participation.Do you have any additional thoughts you would like to share? [Optional]",id,FL_7 - Block Randomizer - Display Order,headlines - Display Order
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID1_TEXT""}","{""ImportId"":""QID99_FIRST_CLICK""}","{""ImportId"":""QID99_LAST_CLICK""}","{""ImportId"":""QID99_PAGE_SUBMIT""}","{""ImportId"":""QID99_CLICK_COUNT""}","{""ImportId"":""QID84""}","{""ImportId"":""QID86""}","{""ImportId"":""QID90""}","{""ImportId"":""QID89""}","{""ImportId"":""QID88""}","{""ImportId"":""QID87""}","{""ImportId"":""QID91""}","{""ImportId"":""QID97""}","{""ImportId"":""QID96""}","{""ImportId"":""QID95""}","{""ImportId"":""QID94""}","{""ImportId"":""QID93""}","{""ImportId"":""QID19""}","{""ImportId"":""QID22""}","{""ImportId"":""QID58_TEXT""}","{""ImportId"":""QID23""}","{""ImportId"":""QID56_TEXT""}","{""ImportId"":""QID24_1""}","{""ImportId"":""QID24_2""}","{""ImportId"":""QID24_3""}","{""ImportId"":""QID24_4""}","{""ImportId"":""QID24_5""}","{""ImportId"":""QID24_6""}","{""ImportId"":""QID25""}","{""ImportId"":""QID26""}","{""ImportId"":""QID52""}","{""ImportId"":""QID53_1""}","{""ImportId"":""QID54_1""}","{""ImportId"":""QID54_2""}","{""ImportId"":""QID54_3""}","{""ImportId"":""QID54_4""}","{""ImportId"":""QID54_5""}","{""ImportId"":""QID54_6""}","{""ImportId"":""QID3_1""}","{""ImportId"":""QID3_2""}","{""ImportId"":""QID3_3""}","{""ImportId"":""QID3_4""}","{""ImportId"":""QID3_5""}","{""ImportId"":""QID3_6""}","{""ImportId"":""QID3_7""}","{""ImportId"":""QID4_1""}","{""ImportId"":""QID4_2""}","{""ImportId"":""QID4_3""}","{""ImportId"":""QID4_4""}","{""ImportId"":""QID4_5""}","{""ImportId"":""QID4_6""}","{""ImportId"":""QID4_7""}","{""ImportId"":""QID6""}","{""ImportId"":""QID7""}","{""ImportId"":""QID8_1""}","{""ImportId"":""QID8_2""}","{""ImportId"":""QID8_3""}","{""ImportId"":""QID8_4""}","{""ImportId"":""QID60_TEXT""}","{""ImportId"":""QID61""}","{""ImportId"":""QID62""}","{""ImportId"":""QID62_6_TEXT""}","{""ImportId"":""QID63""}","{""ImportId"":""QID63_6_TEXT""}","{""ImportId"":""QID82_TEXT""}","{""ImportId"":""id""}","{""ImportId"":""FL_7_DO""}","{""ImportId"":""BL_9tRd5emXtaLggwC_DO""}"
12/1/2021 12:59,12/1/2021 13:11,IP Address,169.236.78.22,100,707,TRUE,12/1/2021 13:11,R_8w9jt15B44Naulz,,,,,37.29719543,-120.4638977,anonymous,EN,79324,,,,,Mostly biased,Somewhat biased,Mostly biased,Completely unbiased,Completely biased,Completely biased,Completely unbiased,Neither biased or unbiased,Mostly unbiased,Completely unbiased,Completely unbiased,Mostly unbiased,"Gain information, learn about the news",Somewhat,"I use factual sources to look at data like government data, health data, and unbiased news outlet ",Somewhat,"I look up data from government, health, and unbiased news sources/ ",Very,A little,Very,Not at all,Very,Very,A moderate amount,A little,Yes,3,Have,Have not,Have not,Have,Have,Have,under 1 hr/day,2+ hrs/day,1-2 hrs/day,none,none,none,2+ hrs/day,don't use,entertainment,news/gain information,don't use,don't use,don't use,news/gain information,2,Independent,9,8,10,7,20,Female,Hispanic/Latino,-99,Hispanic/Latino,-99,Hello!,79324,BL_1MkFqd4DNpt0Iku,cons_imm_low|cons_imm_med|cons_imm_hi|cons_crim_low|cons_crim_med|cons_crim_hi|lib_imm_low|lib_imm_med |lib_imm_hi|lib_crim_low|lib_crim_med|lib_crim_hi
12/1/2021 13:15,12/1/2021 13:37,IP Address,98.252.110.67,100,1331,TRUE,12/1/2021 13:37,R_DpfJvAfB8mGBGr7,,,,,37.32569885,-120.4999008,anonymous,EN,78481,,,,,Neither biased or unbiased,Somewhat unbiased,Somewhat unbiased,Completely unbiased,Somewhat unbiased,Completely biased,Somewhat unbiased,Somewhat biased,Mostly biased,Completely biased,Completely biased,Completely biased,Communicate with those outside of your direct community,Very,"check the stats, Bloomberg news channel",Very,"check the stats, outside resources... Ask people I know personally on the ground",Somewhat,Somewhat,Somewhat,Not at all,Not at all,A little,None at all,A little,Yes,5,Have not,Have not,Have not,Have,Have not,Have,under 1 hr/day,under 1 hr/day,none,none,none,none,2+ hrs/day,unwind/relax,unwind/relax,don't use,don't use,don't use,don't use,entertainment,6,Independent,3,5,5,10,33,Female,"Asian-American/Pacific Islander,Other",European (Spain),Asian-American/Pacific Islander,-99,-99,78481,BL_1MkFqd4DNpt0Iku,cons_imm_low|cons_imm_med|cons_imm_hi|cons_crim_low|cons_crim_med|cons_crim_hi|lib_imm_low|lib_imm_med |lib_imm_hi|lib_crim_low|lib_crim_med|lib_crim_hi
12/1/2021 13:41,12/1/2021 13:55,IP Address,169.236.78.23,100,834,TRUE,12/1/2021 13:55,R_2CUsVPkAJa2he7V,,,,,37.29719543,-120.4638977,anonymous,EN,71170,0,0,301.797,0,Somewhat biased,Mostly biased,Mostly biased,Completely unbiased,Completely biased,Completely biased,Mostly biased,Completely biased,Somewhat biased,Mostly biased,Mostly biased,Completely biased,"Gain information, learn about the news",A little,"looking at the sources in the article, or looking for additional sources/academic articles through internet searches",A little,conduct additional research online by looking for unbiased sources,Somewhat,Somewhat,Somewhat,Somewhat,Not at all,A little,A little,A little,Yes,3,Have,Have not,Have,Have,Have,Have,under 1 hr/day,none,1-2 hrs/day,2+ hrs/day,none,none,under 1 hr/day,catch up with friends,don't use,news/gain information,entertainment,don't use,don't use,unwind/relax,4,Democrat,5,3,4,7,21,Female,"Caucasian,Hispanic/Latino",-99,Hispanic/Latino,-99,-99,71170,Treatment,cons_imm_low|cons_imm_med|cons_imm_hi|cons_crim_low|cons_crim_med|cons_crim_hi|lib_imm_low|lib_imm_med |lib_imm_hi|lib_crim_low|lib_crim_med|lib_crim_hi
12/1/2021 14:37,12/1/2021 14:46,IP Address,169.236.78.25,100,559,TRUE,12/1/2021 14:46,R_1feeinvCfc7BAqt,,,,,37.29719543,-120.4638977,anonymous,EN,78076,,,,,Mostly biased,Completely biased,Somewhat biased,Neither biased or unbiased,Completely biased,Completely biased,Neither biased or unbiased,Neither biased or unbiased,Neither biased or unbiased,Neither biased or unbiased,Neither biased or unbiased,Somewhat biased,"Plan in person actions (events, protests, meetings, etc.)",Somewhat,I google the topic and read up on it,Somewhat,I goggle the topic,Very,Very,Somewhat,A little,Somewhat,Very,A moderate amount,A little,Yes,3,Have,Have not,Have not,Have,Have not,Have,under 1 hr/day,1-2 hrs/day,2+ hrs/day,2+ hrs/day,none,under 1 hr/day,2+ hrs/day,news/gain information,catch up with friends,entertainment,entertainment,don't use,entertainment,entertainment,4,Democrat,5,5,1,3,20,Female,Hispanic/Latino,-99,Hispanic/Latino,-99,NA,78076,BL_1MkFqd4DNpt0Iku,cons_imm_low|cons_imm_med|cons_imm_hi|cons_crim_low|cons_crim_med|cons_crim_hi|lib_imm_low|lib_imm_med |lib_imm_hi|lib_crim_low|lib_crim_med|lib_crim_hi
12/1/2021 14:43,12/1/2021 14:52,IP Address,73.41.126.191,100,549,TRUE,12/1/2021 14:52,R_31z83uS8pPlOYXj,,,,,37.29719543,-120.4638977,anonymous,EN,77098,,,,,Somewhat biased,Mostly unbiased,Somewhat unbiased,Completely unbiased,Mostly biased,Completely biased,Completely unbiased,Mostly biased,Mostly unbiased,Somewhat biased,Mostly biased,Completely biased,Communicate with those outside of your direct community,Somewhat,"I google up more articles, ask family and friends, and watch the news on different channels",Very,I read different articles on the same subjects as well as search around google,Very,Very,A little,Somewhat,Not at all,Not at all,A moderate amount,A lot,Yes,2,Have,Have,Have,Have,Have not,Have,none,under 1 hr/day,under 1 hr/day,none,none,none,1-2 hrs/day,don't use,catch up with friends,-99,don't use,don't use,don't use,unwind/relax,4,Democrat,4,3,1,6,20,Female,Asian-American/Pacific Islander,-99,Asian-American/Pacific Islander,-99,-99,77098,BL_1MkFqd4DNpt0Iku,cons_imm_low|cons_imm_med|cons_imm_hi|cons_crim_low|cons_crim_med|cons_crim_hi|lib_imm_low|lib_imm_med |lib_imm_hi|lib_crim_low|lib_crim_med|lib_crim_hi
12/1/2021 15:50,12/1/2021 15:58,IP Address,169.236.78.20,100,480,TRUE,12/1/2021 15:58,R_1mPnXTYPsHPeZRG,,,,,37.29719543,-120.4638977,anonymous,EN,78646,,,,,Somewhat biased,Mostly unbiased,Mostly biased,Completely unbiased,Completely biased,Neither biased or unbiased,Completely unbiased,Completely biased,Completely unbiased,Completely unbiased,Completely unbiased,Completely unbiased,Communicate with those outside of your direct community,Very,Other forms of media: Instagram to Facebook to the News to Wikipedia if need be ,Very,Different Social Media sites then the news,Very,Very,A little,Somewhat,Somewhat,Very,A moderate amount,A moderate amount,Yes,3,Have,Have not,Have,Have,Have,Have,2+ hrs/day,2+ hrs/day,under 1 hr/day,2+ hrs/day,none,under 1 hr/day,1-2 hrs/day,catch up with friends,news/gain information,news/gain information,entertainment,don't use,news/gain information,entertainment,5,Independent,6,3,4,5,20,Female,African-American,-99,African-American,-99,N/A,78646,BL_1MkFqd4DNpt0Iku,cons_imm_low|cons_imm_med|cons_imm_hi|cons_crim_low|cons_crim_med|cons_crim_hi|lib_imm_low|lib_imm_med |lib_imm_hi|lib_crim_low|lib_crim_med|lib_crim_hi
12/1/2021 15:49,12/1/2021 16:01,IP Address,169.236.78.23,100,683,TRUE,12/1/2021 16:01,R_1P1oWNyBSPVsBo7,,,,,37.29719543,-120.4638977,anonymous,EN,79450,0,0,233.771,0,Somewhat biased,Somewhat biased,Neither biased or unbiased,Mostly unbiased,Mostly biased,Completely biased,Neither biased or unbiased,Mostly biased,Somewhat biased,Mostly biased,Somewhat biased,Completely biased,Communicate with other in your community,Somewhat,Google and find a reliable source,Somewhat,find a mostly unbiased 3rd party,Somewhat,Very,Somewhat,Not at all,Not at all,Very,A moderate amount,A little,Yes,1,Have not,Have not,Have not,Have not,Have,Have,none,2+ hrs/day,none,under 1 hr/day,none,none,under 1 hr/day,don't use,entertainment,don't use,entertainment,don't use,don't use,unwind/relax,3,Independent,-99,1,-99,6,21,Male,Caucasian,-99,Caucasian,-99,-99,79450,Treatment,cons_imm_low|cons_imm_med|cons_imm_hi|cons_crim_low|cons_crim_med|cons_crim_hi|lib_imm_low|lib_imm_med |lib_imm_hi|lib_crim_low|lib_crim_med|lib_crim_hi
12/1/2021 18:14,12/1/2021 18:20,IP Address,174.87.90.115,100,361,TRUE,12/1/2021 18:20,R_Cf6hL0YOgrCD8LD,,,,,37.52340698,-120.8516998,anonymous,EN,78619,,,,,Neither biased or unbiased,Mostly biased,Neither biased or unbiased,Completely biased,Completely biased,Completely biased,Neither biased or unbiased,Somewhat biased,Neither biased or unbiased,Neither biased or unbiased,Somewhat biased,Mostly biased,Communicate with other in your community,A little,readings,Somewhat,newspaper,Very,Very,Somewhat,Somewhat,Somewhat,Somewhat,A moderate amount,A moderate amount,No,2,Have not,Have,Have,Have not,Have,Have,none,2+ hrs/day,none,2+ hrs/day,none,none,1-2 hrs/day,don't use,entertainment,don't use,entertainment,don't use,don't use,news/gain information,5,Independent,6,3,3,-99,21,Female,Asian-American/Pacific Islander,-99,Asian-American/Pacific Islander,-99,-99,78619,BL_1MkFqd4DNpt0Iku,cons_imm_low|cons_imm_med|cons_imm_hi|cons_crim_low|cons_crim_med|cons_crim_hi|lib_imm_low|lib_imm_med |lib_imm_hi|lib_crim_low|lib_crim_med|lib_crim_hi
